nhl_id,name,team,positions,match_method
8476467,"Jamie Oleksiak",VAN,D,exact
8477955,"Jared McCann",SEA,C|LW,exact
8474716,"Jared Spurgeon",MIN,D,exact
8477450,"Jason Dickinson",EDM,C,exact
8480027,"Jason Robertson",DAL,LW|RW,exact
8475722,"Jason Zucker",BUF,LW,exact
8476419,"Jean-Gabriel Pageau",NYI,C,exact
8482408,"Jeff Malott",ANA,LW,exact
8479705,"Jeffrey Viel",TB,LW,exact
8478468,"Jeremy Lauzon",VGK,D,exact
8479407,"Jesper Bratt",NJ,LW|RW,exact
8483516,"Jimmy Snuggerud",STL,RW,exact
8483468,"Jiri Kulich",BUF,C,exact
8476469,"Joel Armia",LA,RW,exact
8476441,"Joel Edmundson",LA,D,exact
8478493,"Joel Eriksson Ek",MIN,C,exact
8480797,"Joel Farabee",CGY,LW|RW,exact
8474590,"John Carlson",TB,D,exact
8478507,"John Marino",UTA,D,exact
8475166,"John Tavares",TOR,C,exact
8476463,"Jonas Brodin",MIN,D,exact
8476456,"Jonathan Huberdeau",CGY,LW|RW,exact
8476539,"Jonathan Marchessault",NSH,LW|RW,exact
8474586,"Jordan Eberle",SEA,RW,exact
8479385,"Jordan Kyrou",WSH,RW,exact
8476921,"Jordan Martinook",CAR,LW|RW,exact
8481606,"Jordan Spence",OTT,D,exact
8473533,"Jordan Staal",CAR,C,exact
8476981,"Josh Anderson",MTL,RW,exact
8482659,"Josh Doan",BUF,RW,exact
8476312,"Josh Manson",COL,D,exact
8477504,"Josh Morrissey",WPG,D,exact
8480064,"Josh Norris",BUF,C,exact
8483515,"Juraj Slafkovský",MTL,LW|RW,exact
8479638,"Justin Brazeau",PIT,RW,exact
8475753,"Justin Faulk",DET,D,exact
8484829,"Justin Hryckowian",DAL,C|LW,exact
8482088,"Justin Sourdif",WSH,C|RW,exact
8480817,"K'Andre Miller",CAR,D,exact
8481554,"Kaapo Kakko",SEA,RW,exact
8477953,"Kasperi Kapanen",EDM,RW,exact
8478434,"Keegan Kolesar",DET,RW,exact
8482660,"Kent Johnson",CBJ,LW|RW,exact
8480860,"Kevin Bahl",CGY,D,exact
8477942,"Kevin Fiala",LA,LW,exact
8480748,"Kiefer Sherwood",SJ,LW|RW,exact
8478864,"Kirill Kaprizov",MIN,LW,exact
8480893,"Kirill Marchenko",CBJ,RW,exact
8471724,"Kris Letang",PIT,D,exact
8478398,"Kyle Connor",WPG,LW,exact
8475151,"Kyle Palmieri",NYI,RW,exact
8483457,"Lane Hutson",MTL,D,exact
8478474,"Lawson Crouse",UTA,LW|RW,exact
8484153,"Leo Carlsson",ANA,C,exact
8477934,"Leon Draisaitl",EDM,C|LW,exact
8483425,"Lian Bichsel",DAL,D,exact
8483431,"Logan Cooley",UTA,C,exact
8482702,"Logan Stankoven",CAR,C|RW,exact
8481806,"Louis Crevier",BUF,D,exact
8482078,"Lucas Raymond",DET,RW,exact
8482146,"Luke Evangelista",NJ,LW|RW,exact
8482684,"Luke Hughes",NJ,D,exact
8474568,"Luke Schenn",VAN,D,exact
8477346,"MacKenzie Weegar",UTA,D,exact
8482713,"Mackie Samoskevich",SEA,RW,exact
8484801,"Macklin Celebrini",SJ,C,exact
8483464,"Marco Kasper",DET,C|LW,exact
8482079,"Marco Rossi",VAN,C,exact
8475220,"Marcus Foligno",MIN,LW,exact
8477969,"Marcus Pettersson",NYR,D,exact
8479983,"Mario Ferraro",WPG,D,exact
8476460,"Mark Scheifele",WPG,C,exact
8475913,"Mark Stone",VGK,RW,exact
8480796,"Martin Fehervary",WSH,D,exact
8480039,"Martin Necas",COL,RW,exact
8481028,"Martin Pospisil",CGY,C|RW,exact
8482511,"Mason Lohrei",BOS,D,exact
8478975,"Mason Marchment",SJ,LW,exact
8482745,"Mason McTavish",STL,C,exact
8478445,"Mathew Barzal",NYI,C|RW,exact
8479671,"Mathieu Olivier",CBJ,RW,exact
8481711,"Matias Maccelli",NYI,LW|RW,exact
8475692,"Mats Zuccarello",LA,RW,exact
8481557,"Matt Boldy",MIN,LW|RW,exact
8482679,"Matt Coronato",CGY,RW,exact
8475168,"Matt Duchene",DAL,C|RW,exact
8478911,"Matt Roy",WSH,D,exact
8483512,"Matt Savoie",EDM,C|RW,exact
8482720,"Matthew Knies",TOR,LW|RW,exact
8485366,"Matthew Schaefer",NYI,D,exact
8479314,"Matthew Tkachuk",FLA,LW|RW,exact
8484241,"Matthew Wood",NSH,C|RW,exact
8475218,"Mattias Ekholm",EDM,D,exact
8480807,"Mattias Samuelsson",BUF,D,exact
8482665,"Matty Beniers",SEA,C,exact
8484860,"Matvei Gridin",CGY,LW|RW,exact
8484387,"Matvei Michkov",PHI,LW|RW,exact
8482145,"Mavrik Bourque",NSH,C|RW,exact
8484958,"Maxim Tsyplakov",CGY,LW|RW,exact
8478020,"Michael Amadio",OTT,LW|RW,exact
8478047,"Michael Bunting",DAL,LW,exact
8479619,"Michael Carcone",UTA,LW,exact
8480891,"Michael Kesselring",SJ,D,exact
8477446,"Michael McCarron",MIN,C,exact
8485402,"Michael Misa",SJ,C,exact
8476459,"Mika Zibanejad",NYR,C|RW,exact
8474150,"Mikael Backlund",CGY,C,exact
8475798,"Mikael Granlund",ANA,C|LW,exact
8476875,"Mike Matheson",MTL,D,exact
8479998,"Mikey Anderson",LA,D,exact
8479410,"Mikhail Sergachev",UTA,D,exact
8478420,"Mikko Rantanen",DAL,LW|RW,exact
8480036,"Miro Heiskanen",DAL,D,exact
8478483,"Mitch Marner",VGK,C|LW|RW,exact
8480289,"Morgan Barron",WPG,C|LW,exact
8480028,"Morgan Frost",CGY,C,exact
8479987,"Morgan Geekie",BOS,C|LW|RW,exact
8476853,"Morgan Rielly",TOR,D,exact
8481542,"Moritz Seider",DET,D,exact
8477220,"Nate Schmidt",UTA,D,exact
8477492,"Nathan MacKinnon",COL,C,exact
8475172,"Nazem Kadri",COL,C|LW,exact
8480145,"Neal Pionk",WPG,D,exact
8481582,"Nicholas Robertson",PIT,RW,exact
8473422,"Nick Foligno",MIN,C|LW,exact
8484185,"Nick Lardis",CHI,LW,exact
8477951,"Nick Schmaltz",UTA,C|RW,exact
8476372,"Nick Seeler",PHI,D,exact
8480018,"Nick Suzuki",MTL,C,exact
8480002,"Nico Hischier",NJ,C,exact
8478462,"Nicolas Roy",COL,C|RW,exact
8482787,"Nikita Chibrikov",WPG,RW,exact
8476453,"Nikita Kucherov",TB,RW,exact
8481754,"Nikita Nesterenko",ANA,C,exact
8477507,"Nikita Zadorov",BOS,D,exact
8477940,"Nikolaj Ehlers",CAR,LW,exact
8475799,"Nino Niederreiter",WPG,LW|RW,exact
8480220,"Noah Cates",PHI,C,exact
8480865,"Noah Dobson",MTL,D,exact
8478396,"Noah Hanifin",VGK,D,exact
8483690,"Noah Laba",NYR,C,exact
8478569,"Noel Acciari",PHI,C|RW,exact
8482803,"Olen Zellweger",BUF,D,exact
8477416,"Oliver Bjorkstrand",NYR,RW,exact
8475171,"Oliver Ekman-Larsson",TOR,D,exact
8482775,"Oliver Kapanen",MTL,C,exact
8482671,"Owen Power",BUF,D,exact
8480015,"Owen Tippett",PHI,LW|RW,exact
8480448,"Parker Kelly",COL,C|LW,exact
8478450,"Parker Wotherspoon",VGK,D,exact
8474141,"Patrick Kane",CHI,RW,exact
8481032,"Paul Cotter",VAN,LW,exact
8477402,"Pavel Buchnevich",STL,C|LW|RW,exact
8481604,"Pavel Dorofeyev",NYR,LW|RW,exact
